hour,load,wind,solar,cluster
23,103.95,44.039999999999999,4.4000000000000004,21
0,92,1.3200000000000001,48.149999999999999,22
1,87,1.8999999999999999,78.140000000000001,22
2,83,2.29,102.27,22
3,81,4.3200000000000003,117.94,22
4,82,7.4199999999999999,113.89,22
5,89,10.67,107.73,22
6,103,12.9,90.480000000000004,22
7,122,14.19,67.299999999999997,22
8,139,16.899999999999999,40.479999999999997,22
9,145,27.289999999999999,15.98,22
10,141,56.670000000000002,0.91000000000000003,22
11,134,70.230000000000004,0,22
12,128,65.120000000000005,0,22
13,125,57.909999999999997,0,22
14,127,67.840000000000003,0,22
15,133,69.829999999999998,0,22
16,143,60.07,0,22
17,154,47.399999999999999,0,22
18,160,44.039999999999999,0,22
19,162,43.450000000000003,0,22
20,151,53.740000000000002,0,22
21,132,55.979999999999997,0,22
22,112,53.909999999999997,0.68000000000000005,22
23,99,53.409999999999997,9.1699999999999999,22
0,87.400000000000006,27.399999999999999,16.449999999999999,23
1,82.650000000000006,25.879999999999999,28.18,23
2,78.849999999999994,22.530000000000001,40.310000000000002,23
3,76.950000000000003,20.719999999999999,46.700000000000003,23
4,77.900000000000006,21,47.060000000000002,23
5,84.549999999999997,21.379999999999999,47.770000000000003,23
6,97.849999999999994,19.809999999999999,45.880000000000003,23
7,115.90000000000001,18.149999999999999,29.390000000000001,23
8,132.05000000000001,14.859999999999999,17.199999999999999,23
9,137.75,10.49,6.7599999999999998,23
10,133.94999999999999,10.859999999999999,0.52000000000000002,23
11,127.3,12.42,0,23
12,121.59999999999999,12.56,0,23
13,118.75,11.300000000000001,0,23
14,120.65000000000001,9.0199999999999996,0,23
15,126.34999999999999,6.4900000000000002,0,23
16,135.84999999999999,4.5899999999999999,0,23
17,146.30000000000001,3.25,0,23
18,152,3.25,0,23
19,153.90000000000001,6.1699999999999999,0,23
20,143.44999999999999,9.0700000000000003,0,23
21,125.40000000000001,8.5700000000000003,0,23
22,106.40000000000001,6.8700000000000001,2.7999999999999998,23
23,94.049999999999997,2.9900000000000002,17.539999999999999,23
0,92,0,39.549999999999997,24
1,87,0,67.590000000000003,24
2,83,0,77.629999999999995,24
3,81,0.46999999999999997,80.959999999999994,24
4,82,0.51000000000000001,75.689999999999998,24
5,89,0.40999999999999998,63.539999999999999,24
6,103,0.76000000000000001,45.630000000000003,24
7,122,1.79,36.829999999999998,24
8,139,3.2200000000000002,20.579999999999998,24
9,145,3.2200000000000002,4.8799999999999999,24
10,141,3.52,0,24
11,134,6.1200000000000001,0,24
12,128,9.2400000000000002,0,24
13,125,7.7699999999999996,0,24
14,127,4.5899999999999999,0,24
15,133,4.5199999999999996,0,24
16,143,6.1699999999999999,0,24
17,154,5.7199999999999998,0,24
18,160,3.6600000000000001,0,24
19,162,2.6099999999999999,0,24
20,151,2.0899999999999999,0,24
21,132,0.94999999999999996,0,24
22,112,1.49,1.45,24
23,99,1.77,14.99,24
0,96.599999999999994,47.240000000000002,11.01,25
1,91.349999999999994,53.240000000000002,18.52,25
2,87.150000000000006,72.260000000000005,23.890000000000001,25
3,85.049999999999997,93.049999999999997,14.9,25
4,86.099999999999994,100,41.700000000000003,25
5,93.450000000000003,92.569999999999993,43.560000000000002,25
6,108.15000000000001,81.010000000000005,40.990000000000002,25
7,128.09999999999999,65.689999999999998,28.579999999999998,25
8,145.94999999999999,52.729999999999997,15.69,25
9,152.25,43.299999999999997,7.4199999999999999,25
10,148.05000000000001,85.510000000000005,0.73999999999999999,25
11,140.69999999999999,100,0,25
12,134.40000000000001,100,0,25
13,131.25,100,0,25
14,133.34999999999999,82.120000000000005,0,25
15,139.65000000000001,40.140000000000001,0,25
16,150.15000000000001,35.030000000000001,0,25
17,161.69999999999999,48.030000000000001,0,25
18,168,59.159999999999997,0,25
19,170.09999999999999,69.829999999999998,0,25
20,158.55000000000001,60.25,0,25
21,138.59999999999999,43.600000000000001,0,25
22,117.59999999999999,7.0700000000000003,1.3999999999999999,25
23,103.95,22.329999999999998,10.699999999999999,25
0,87.400000000000006,7.4199999999999999,66.780000000000001,26
1,82.650000000000006,7.0700000000000003,93.390000000000001,26
2,78.849999999999994,9.0199999999999996,118.53,26
3,76.950000000000003,10.67,134.15000000000001,26
4,77.900000000000006,9.5899999999999999,140.36000000000001,26
5,84.549999999999997,8.0299999999999994,131.58000000000001,26
6,97.849999999999994,5.8499999999999996,115.06999999999999,26
7,115.90000000000001,3.9500000000000002,94.040000000000006,26
8,132.05000000000001,3.2200000000000002,63.990000000000002,26
9,137.75,3.6600000000000001,34.409999999999997,26
10,133.94999999999999,4.21,11.619999999999999,26
11,127.3,4.8300000000000001,0,26
12,121.59999999999999,6.21,0,26
13,118.75,9.1300000000000008,0,26
14,120.65000000000001,13.390000000000001,0,26
15,126.34999999999999,14.859999999999999,0,26
16,135.84999999999999,14.039999999999999,0,26
17,146.30000000000001,12.15,0,26
18,152,10.43,0,26
19,153.90000000000001,10.119999999999999,0,26
20,143.44999999999999,10.359999999999999,0,26
21,125.40000000000001,10.67,0.40000000000000002,26
22,106.40000000000001,8.5199999999999996,12.56,26
23,94.049999999999997,6.8700000000000001,38.479999999999997,26
0,87.400000000000006,61.539999999999999,70.840000000000003,27
1,82.650000000000006,73.5,96.870000000000005,27
2,78.849999999999994,78.159999999999997,110.36,27
3,76.950000000000003,77.730000000000004,124.86,27
4,77.900000000000006,76.870000000000005,122.61,27
5,84.549999999999997,73.299999999999997,90.739999999999995,27
6,97.849999999999994,66.659999999999997,78.530000000000001,27
7,115.90000000000001,60.619999999999997,44.93,27
